 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     MainWing                                
     # Chordwise =  8   # Spanwise = 14     First strip =  1
     Surface area =   69.978790       Ave. chord =    4.088710
     CLsurf  =   0.16319     Clsurf  =  -0.03289
     CYsurf  =  -0.01488     Cmsurf  =  -0.36509
     CDsurf  =   0.00197     Cnsurf  =   0.00377
     CDisurf =   0.00197     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.32648     CDsurf  =   0.00393
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1   0.5500   6.9300   7.6521   2.0175   0.0429   0.3770   0.2912   0.0130   0.0000  -0.1597  -0.1936    0.801
     2   1.6500   6.3900   7.0558   1.9877   0.0451   0.4028   0.3112   0.0105   0.0000  -0.1635  -0.2009    0.778
     3   2.7500   5.8500   6.4596   1.9186   0.0417   0.4246   0.3280   0.0087   0.0000  -0.1658  -0.2063    0.758
     4   3.8500   5.3100   5.8633   1.8124   0.0354   0.4419   0.3414   0.0070   0.0000  -0.1670  -0.2101    0.741
     5   4.9500   4.7700   5.2670   1.6730   0.0239   0.4540   0.3508   0.0050   0.0000  -0.1672  -0.2122    0.728
     6   6.1417   4.3611   5.6181   1.5248   0.0115   0.4799   0.3497   0.0026   0.0000  -0.1591  -0.2053    0.707
     7   7.4250   4.0833   5.2603   1.4279   0.0156   0.4799   0.3497   0.0013   0.0000  -0.1534  -0.2006    0.691
     8   8.7083   3.8056   4.9025   1.3279   0.0159   0.4789   0.3490   0.0004   0.0000  -0.1506  -0.1981    0.683
     9   9.9917   3.5278   4.5446   1.2205   0.0151   0.4748   0.3460  -0.0005   0.0000  -0.1492  -0.1962    0.683
    10  11.2750   3.2500   4.1868   1.1047   0.0139   0.4665   0.3399  -0.0013   0.0000  -0.1483  -0.1942    0.688
    11  12.5583   2.9722   3.8289   0.9806   0.0126   0.4528   0.3299  -0.0020   0.0000  -0.1476  -0.1916    0.699
    12  13.8417   2.6944   3.4711   0.8476   0.0120   0.4317   0.3146  -0.0027   0.0000  -0.1469  -0.1878    0.719
    13  15.1250   2.4167   3.1132   0.7039   0.0143   0.3997   0.2912  -0.0033   0.0000  -0.1455  -0.1818    0.751
    14  16.4083   2.1389   2.7554   0.5295   0.0308   0.3397   0.2475  -0.0039   0.0000  -0.1367  -0.1654    0.804

  Surface # 2     MainWing (YDUP)                         
     # Chordwise =  8   # Spanwise = 14     First strip = 15
     Surface area =   69.978790       Ave. chord =    4.088710
     CLsurf  =   0.16319     Clsurf  =   0.03289
     CYsurf  =   0.01488     Cmsurf  =  -0.36509
     CDsurf  =   0.00197     Cnsurf  =  -0.00377
     CDisurf =   0.00197     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.32648     CDsurf  =   0.00393
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    15  -0.5500   6.9300   7.6521   2.0175   0.0429   0.3770   0.2912   0.0130   0.0000  -0.1597   0.1936    0.801
    16  -1.6500   6.3900   7.0558   1.9877   0.0451   0.4028   0.3112   0.0105   0.0000  -0.1635   0.2009    0.778
    17  -2.7500   5.8500   6.4596   1.9186   0.0417   0.4246   0.3280   0.0087   0.0000  -0.1658   0.2063    0.758
    18  -3.8500   5.3100   5.8633   1.8124   0.0354   0.4419   0.3414   0.0070   0.0000  -0.1670   0.2101    0.741
    19  -4.9500   4.7700   5.2670   1.6730   0.0239   0.4540   0.3508   0.0050   0.0000  -0.1672   0.2122    0.728
    20  -6.1417   4.3611   5.6181   1.5248   0.0115   0.4799   0.3497   0.0026   0.0000  -0.1591   0.2053    0.707
    21  -7.4250   4.0833   5.2603   1.4279   0.0156   0.4799   0.3497   0.0013   0.0000  -0.1534   0.2006    0.691
    22  -8.7083   3.8056   4.9025   1.3279   0.0159   0.4789   0.3490   0.0004   0.0000  -0.1506   0.1981    0.683
    23  -9.9917   3.5278   4.5446   1.2205   0.0151   0.4748   0.3460  -0.0005   0.0000  -0.1492   0.1962    0.683
    24 -11.2750   3.2500   4.1868   1.1047   0.0139   0.4665   0.3399  -0.0013   0.0000  -0.1483   0.1942    0.688
    25 -12.5583   2.9722   3.8289   0.9806   0.0126   0.4528   0.3299  -0.0020   0.0000  -0.1476   0.1916    0.699
    26 -13.8417   2.6944   3.4711   0.8476   0.0120   0.4317   0.3146  -0.0027   0.0000  -0.1469   0.1878    0.719
    27 -15.1250   2.4167   3.1132   0.7039   0.0143   0.3997   0.2912  -0.0033   0.0000  -0.1455   0.1818    0.751
    28 -16.4083   2.1389   2.7554   0.5295   0.0308   0.3397   0.2475  -0.0039   0.0000  -0.1367   0.1654    0.804
 ---------------------------------------------------------------
